# Exchange addresses scraped from Arkham Intelligence, CoinCarp, and BitInfoCharts
# Generated: 2026-03-11
# Total: 195 addresses across 12 entities
address,entity,source
# Bitkub - round 2 (1 addresses)
bc1qdvt3jnrfxnc8cy30ep9r9p9vwxjf7l66ylz63zam4883ntm9zxgqfzptar,Bitkub,arkham-labeled
# ChangeNOW - round 2 (12 addresses)
12bXX1Ej5afzuMjww3oGcozb89MB1hZ78X,ChangeNOW,arkham-labeled
1ArG3JwEbF4WrCiEnXQXUAgQumAVzqnQHD,ChangeNOW,arkham-labeled
1GqsdVMb2K8V1DPg2Qv3dxqAr4Mp5jqQKM,ChangeNOW,arkham-labeled
1NDbNtrZwwjj4DAE51mpgZh6RhLPe1C7R4,ChangeNOW,arkham-labeled
1P6zLc7KjrHyFrkeiwA5mrY5F3ARqroueQ,ChangeNOW,arkham-labeled
39yqR1ootpQMHcVcEu1DMCeww1oMNQoiu4,ChangeNOW,arkham-labeled
3FugZCYTez2pKb7jhEh4tyuHX2cKCwxcyh,ChangeNOW,arkham-labeled
3MLxeGMYmEtMEHLtSAdTQkpXy8Ws7Yosv2,ChangeNOW,arkham-labeled
3N2aKKUPPr5rjVC5xN7EG5M3ncifZQMCyr,ChangeNOW,arkham-labeled
3QbSfMrz3wgErMSx9tc8An2dhuCVban6CR,ChangeNOW,arkham-labeled
bc1q508nvl0yuj6hh7uh42e8r9vsyx8x3xklapmlkq,ChangeNOW,arkham-labeled
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,ChangeNOW,arkham-labeled
# Galaxy Digital - round 2 (4 addresses)
148i7usnmfgaecsk6bAuqtZ7NkiA8qhkwt,Galaxy Digital,arkham-labeled
bc1q0phej5lfqc8ed69f53l5mxw78svx878lgpqesl,Galaxy Digital,arkham-labeled
bc1qktsaas9xxee8kqt08gtrx2dh72svxf7nvpnymx,Galaxy Digital,arkham-labeled
bc1qyfwe69e4xyueud8d8prlc2epj78scxjsk2x39t,Galaxy Digital,arkham-labeled
# Indodax - round 2 (1 addresses)
bc1qcygfu0neqgne5ptet9ea4ktm64xh6qklvhwvef,Indodax,arkham-labeled
# Luno - round 2 (11 addresses)
1AKRwJFzbu8ZQe2iFWm9mMEc6Xb7GdTQpo,Luno,arkham-labeled
3BYt4XiNr88LFECVZ7iMrkTSL7JdwMpiRf,Luno,arkham-labeled
3HVwLBmXCpS2LfqENGgvAsgNP7KctPWqZ4,Luno,arkham-labeled
bc1qcl5xd5p4dxz5agf53ksvq5selm0dvdsqyyqfsl,Luno,arkham-labeled
bc1qel7tps3wu6zqztaanczvt76hffwh7k06jd8r9xh2v3ztpa5ty5dsz358ys,Luno,arkham-labeled
bc1ql7s825wcr2gs5evw60wpnmsxnkesxxuurrk8ut,Luno,arkham-labeled
bc1qpdx94zz4xtfyz47t5z70lackgww8heygsvpny4,Luno,arkham-labeled
bc1qrjl2dmq8qcgrgmchdcghzs9tkllxyv2n4fshlt,Luno,arkham-labeled
bc1qsvzltretetjcrh4esqagvevy2d3f5h8hcpg4an,Luno,arkham-labeled
bc1qtqxw899x7uvpmuntg0a8f888dhhjzyj8nywz4u,Luno,arkham-labeled
bc1qwfgdjyy95aay2686fn74h6a4nu9eev6np7q4fn204dkj3274frlqrskvx0,Luno,arkham-labeled
